,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CARGOS,SIGLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PADEIRO,PAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,REPOSITOR 1,REP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,REPOSITOR 2,REP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,REPOSITOR 3,REP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,REPOSITOR 4,REP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,RH,RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,SAC 1,SAC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,SAC 2,SAC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,SALGADEIRA,SALG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,TECNOL DA INFORMACAO,T.I.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,AÇOUGUEIRO4,AÇ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ATENDENTE PAD AVULSO1,ATAV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,ATENDENTE PAD AVULSO2,ATAV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,AÇOUGUEIRO AVULVO 1,AÇAV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,AÇOUGUEIRO 4,AÇ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,CAIXA 6,CAI6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,ATEND PADARIA 5,ATP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,FAXINEIRA-SUBS,FAX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,CONFEITEIRA 2,CFT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,AÇOUGUEIRO 5,AÇ5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,AÇOUGUEIRO 6,AÇ6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,HORTIFRUTI 1,HORT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,HORTIFRUTI 2,HORT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,CAIXA 7,CX7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,AÇOUGUEIRO 5,AÇ5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,AÇOUGUEIRO 6,AÇ6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,AÇOUGUEIRO 7,AÇ7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
